date;description;amount;merchant_name;merchant_address;country;flags
2023-06-03 20:45;TomateStrau. kg;1.01;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Eisbergsalat;0.95;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Asiatisches Gemüse;1.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Mozzarella;0.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;H-Milch 1,5% OGT;1.05;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Spaghetti XXL;0.89;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Bio Eter;2.29;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Lebensmittel;3.19;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Mehrfrucht-Karotten;1.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 20:45;Cashewkerne 200g;2.39;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Cranberries getrock;2.19;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Hähnchen-Geschn;3.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 20:45;Rinderhack 500g;4.89;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 09:56;Bananen kg;1.19;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 09:56;Nektarinen;2.99;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 09:56;Del.Kochschinken;1.79;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 09:56;Apfelmus gezuckert;0.89;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 09:56;Junge Brechbohnen;0.99;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-03 09:56;Toilettenpapier 31g;4.05;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Küchentücher;2.85;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Per.Tragetasche;0.65;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Hygienespray Univer;1.95;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Topfschwamm;0.75;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Abfallsäcke 601 25er;1.89;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Allzweckrein. Tü;1.99;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-06-03 09:56;Frischhalt '0384936;9.99;Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-07-04 19:00;Bananen kg;1.29;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-07-04 19:00;Gurke Stk;0.44;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-07-04 19:00;Fr.Eier.a.Bo.ha OKT;1.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-07-04 19:00;H-Milch 1,5% OGT;0.95;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-07-04 19:00;Mehrfrucht-Karotten;1.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; B
2023-07-04 19:00;Hähnchenbr.Filet600g;5.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-07 19:32;TomateStrau. kg;1.83;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-07 19:32;Feinschmeckergemüse;1.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-07 19:32;Mexikanisches Gemüse;1.99;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
2023-06-07 19:32;Nasi Goreng;3.49;LIDL Müllerstraße 48-48a;13349 Berlin-Wedding;DE; A
